Date,Close
6/10/2022 16:00:00,75.67
6/13/2022 16:00:00,72.36
6/14/2022 16:00:00,72.31
6/15/2022 16:00:00,74.19
6/16/2022 16:00:00,70.95
6/17/2022 16:00:00,71.87
6/21/2022 16:00:00,72.96
6/22/2022 16:00:00,73.3
6/23/2022 16:00:00,75.2
6/24/2022 16:00:00,78.11
6/27/2022 16:00:00,77.68
6/28/2022 16:00:00,76.34
6/29/2022 16:00:00,76.43
6/30/2022 16:00:00,76.39
7/1/2022 16:00:00,79.26
7/5/2022 16:00:00,79.52
7/6/2022 16:00:00,78.86
7/7/2022 16:00:00,79.24
7/8/2022 16:00:00,79.28
7/11/2022 16:00:00,77.9
7/12/2022 16:00:00,77.76
7/13/2022 16:00:00,77.92
7/14/2022 16:00:00,78.2
7/15/2022 16:00:00,79.62
7/18/2022 16:00:00,80.23
7/19/2022 16:00:00,82.55
7/20/2022 16:00:00,83.27
7/21/2022 16:00:00,83.54
7/22/2022 16:00:00,83.59
7/25/2022 16:00:00,81.5
7/26/2022 16:00:00,80.31
7/27/2022 16:00:00,82.96
7/28/2022 16:00:00,84.67
7/29/2022 16:00:00,84.78
8/1/2022 16:00:00,84.91
8/2/2022 16:00:00,83.71
8/3/2022 16:00:00,87.27
8/4/2022 16:00:00,86.88
8/5/2022 16:00:00,85.73
8/8/2022 16:00:00,85.72
8/9/2022 16:00:00,84.84
8/10/2022 16:00:00,86.49
8/11/2022 16:00:00,87.27
8/12/2022 16:00:00,88.31
8/15/2022 16:00:00,89.16
8/16/2022 16:00:00,89.4
8/17/2022 16:00:00,88.35
8/18/2022 16:00:00,88.55
8/19/2022 16:00:00,86.92
8/22/2022 16:00:00,84.95
8/23/2022 16:00:00,84.69
8/24/2022 16:00:00,86.05
8/25/2022 16:00:00,87.39
8/26/2022 16:00:00,84.06
8/29/2022 16:00:00,84.12
8/30/2022 16:00:00,83.41
8/31/2022 16:00:00,84.07
9/1/2022 16:00:00,85.4
9/2/2022 16:00:00,82.94
9/6/2022 16:00:00,84.52
9/7/2022 16:00:00,88.31
9/8/2022 16:00:00,89.46
9/9/2022 16:00:00,88.69
9/12/2022 16:00:00,89.07
9/13/2022 16:00:00,87.84
9/14/2022 16:00:00,92.7
9/15/2022 16:00:00,92.22
9/16/2022 16:00:00,91.31
9/19/2022 16:00:00,92.14
9/20/2022 16:00:00,90.79
9/21/2022 16:00:00,88.6
9/22/2022 16:00:00,84.7
9/23/2022 16:00:00,84.17
9/26/2022 16:00:00,84.81
9/27/2022 16:00:00,84.28
9/28/2022 16:00:00,87.11
9/29/2022 16:00:00,86.57
9/30/2022 16:00:00,84.26
10/3/2022 16:00:00,85.62
10/4/2022 16:00:00,88.51
10/5/2022 16:00:00,90.12
10/6/2022 16:00:00,89.35
10/7/2022 16:00:00,87.03
10/10/2022 16:00:00,87.06
10/11/2022 16:00:00,86.21
10/12/2022 16:00:00,86.87
10/13/2022 16:00:00,89.37
10/14/2022 16:00:00,86.37
10/17/2022 16:00:00,88.9
10/18/2022 16:00:00,88.96
10/19/2022 16:00:00,87.52
10/20/2022 16:00:00,86.79
10/21/2022 16:00:00,88.61
10/24/2022 16:00:00,83.76
10/25/2022 16:00:00,85.21
10/26/2022 16:00:00,85.89
10/27/2022 16:00:00,85.28
10/28/2022 16:00:00,87.1
10/31/2022 16:00:00,86.59
11/1/2022 16:00:00,87.1
11/2/2022 16:00:00,84.58
11/3/2022 16:00:00,84.68
11/4/2022 16:00:00,91.86
11/7/2022 16:00:00,90.45
11/8/2022 16:00:00,92.75
11/9/2022 16:00:00,91.63
11/10/2022 16:00:00,96.26
11/11/2022 16:00:00,97.38
11/14/2022 16:00:00,97.42
11/15/2022 16:00:00,97.83
11/16/2022 16:00:00,97.07
11/17/2022 16:00:00,96.97
11/18/2022 16:00:00,97.95
11/21/2022 16:00:00,98.32
11/22/2022 16:00:00,98.43
11/23/2022 16:00:00,99.52
11/25/2022 13:05:00,99.56
11/28/2022 16:00:00,98.66
11/29/2022 16:00:00,98.66
11/30/2022 16:00:00,102.2
12/1/2022 16:00:00,103.37
12/2/2022 16:00:00,105.05
12/5/2022 16:00:00,103.55
12/6/2022 16:00:00,102.08
12/7/2022 16:00:00,101.87
12/8/2022 16:00:00,103.74
12/9/2022 16:00:00,101.79
12/12/2022 16:00:00,102.7
12/13/2022 16:00:00,102.11
12/14/2022 16:00:00,102.19
12/15/2022 16:00:00,99.99
12/16/2022 16:00:00,98.83
12/19/2022 16:00:00,98.3
12/20/2022 16:00:00,98
12/21/2022 16:00:00,98.67
12/22/2022 16:00:00,97.76
12/23/2022 16:00:00,98.27
12/27/2022 16:00:00,99.2
12/28/2022 16:00:00,98.6
12/29/2022 16:00:00,99.77
12/30/2022 16:00:00,99.2
