Date,Close
1/3/2022 16:00:00,116.68
1/4/2022 16:00:00,114.24
1/5/2022 16:00:00,110.44
1/6/2022 16:00:00,111.14
1/7/2022 16:00:00,107.57
1/10/2022 16:00:00,106.03
1/11/2022 16:00:00,104.04
1/12/2022 16:00:00,103.87
1/13/2022 16:00:00,102.4
1/14/2022 16:00:00,100.12
1/18/2022 16:00:00,97.73
1/19/2022 16:00:00,96.87
1/20/2022 16:00:00,95.72
1/21/2022 16:00:00,96.31
1/24/2022 16:00:00,98.1
1/25/2022 16:00:00,97.01
1/26/2022 16:00:00,95.58
1/27/2022 16:00:00,95.32
1/28/2022 16:00:00,97.21
1/31/2022 16:00:00,98.32
2/1/2022 16:00:00,98.76
2/2/2022 16:00:00,97.73
2/3/2022 16:00:00,95.94
2/4/2022 16:00:00,95
2/7/2022 16:00:00,95.19
2/8/2022 16:00:00,94.92
2/9/2022 16:00:00,97.13
2/10/2022 16:00:00,95.31
2/11/2022 16:00:00,93.73
2/14/2022 16:00:00,93.65
2/15/2022 16:00:00,94.51
2/16/2022 16:00:00,95.18
2/17/2022 16:00:00,93.05
2/18/2022 16:00:00,93.34
2/22/2022 16:00:00,93.11
2/23/2022 16:00:00,89.65
2/24/2022 16:00:00,91.01
2/25/2022 16:00:00,92.58
2/28/2022 16:00:00,91.79
3/1/2022 16:00:00,90.14
3/2/2022 16:00:00,92.77
3/3/2022 16:00:00,91.53
3/4/2022 16:00:00,90.03
3/7/2022 16:00:00,84.46
3/8/2022 16:00:00,84
3/9/2022 16:00:00,87.6
3/10/2022 16:00:00,87.16
3/11/2022 16:00:00,82.73
3/14/2022 16:00:00,79.29
3/15/2022 16:00:00,83.12
3/16/2022 16:00:00,87.41
3/17/2022 16:00:00,87.66
3/18/2022 16:00:00,89.6
3/21/2022 16:00:00,86.86
3/22/2022 16:00:00,87.89
3/23/2022 16:00:00,86.22
3/24/2022 16:00:00,87.12
3/25/2022 16:00:00,87.45
3/28/2022 16:00:00,88.38
3/29/2022 16:00:00,91.23
3/30/2022 16:00:00,91.03
3/31/2022 16:00:00,90.97
4/1/2022 16:00:00,91.49
4/4/2022 16:00:00,88.09
4/5/2022 16:00:00,84.12
4/6/2022 16:00:00,83.36
4/7/2022 16:00:00,83.12
4/8/2022 16:00:00,81.52
4/11/2022 16:00:00,80.68
4/12/2022 16:00:00,79.79
4/13/2022 16:00:00,80.92
4/14/2022 16:00:00,79.5
4/18/2022 16:00:00,79.6
4/19/2022 16:00:00,81.22
4/20/2022 16:00:00,80.17
4/21/2022 16:00:00,78.96
4/22/2022 16:00:00,77.92
4/25/2022 16:00:00,77.98
4/26/2022 16:00:00,75.63
4/27/2022 16:00:00,74.74
4/28/2022 16:00:00,76.58
4/29/2022 16:00:00,74.64
5/2/2022 16:00:00,75.37
5/3/2022 16:00:00,74.33
5/4/2022 16:00:00,81.64
5/5/2022 16:00:00,77.48
5/6/2022 16:00:00,76.52
5/9/2022 16:00:00,73.49
5/10/2022 16:00:00,71.86
5/11/2022 16:00:00,70.06
5/12/2022 16:00:00,69.9
5/13/2022 16:00:00,75.6
5/16/2022 16:00:00,72.42
5/17/2022 16:00:00,73.72
5/18/2022 16:00:00,71.28
5/19/2022 16:00:00,71.93
5/20/2022 16:00:00,73.39
5/23/2022 16:00:00,73.42
5/24/2022 16:00:00,72.72
5/25/2022 16:00:00,72.48
5/26/2022 16:00:00,74.49
5/27/2022 16:00:00,76.71
5/31/2022 16:00:00,78.5
6/1/2022 16:00:00,76.28
6/2/2022 16:00:00,79.42
6/3/2022 16:00:00,79.05
6/6/2022 16:00:00,78.98
6/7/2022 16:00:00,79.47
6/8/2022 16:00:00,78.47
6/9/2022 16:00:00,78.91
